baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene Name
13.85515038,0.05062095,0.102790738,0.492466065,0.622389906,0.999729606, 1/2-SBSRNA4
112.3796172,-0.026336079,0.108008518,-0.243833356,0.807359886,0.999729606,A1BG
48.86663228,0.053429406,0.061437753,0.869651053,0.384491129,0.999729606,A1BG-AS1
0.625973393,0.240869206,0.392218035,0.614120677,0.539135585,0.999729606,A1CF
84.08069917,-0.024912113,0.065979711,-0.377572329,0.705748324,0.999729606,A2LD1
15.55990081,0.148320644,0.120293887,1.23298571,0.217581096,0.999729606,A2M
1.108333718,0.109114458,0.323365836,0.337433477,0.735790152,0.999729606,A2ML1
4.162839446,-0.017975351,0.172205329,-0.104383246,0.916865218,0.999729606,A2MP1
4.937232111,-0.205073986,0.313929168,-0.653249226,0.51359562,0.999729606,A4GALT
1.065642299,-0.646102613,0.39859586,-1.620946624,0.105029087,0.999729606,A4GNT
0.004967746,-0.242965883,2.902432623,-0.083711119,0.933286116,0.999729606,AA06
0.260935473,-0.393182751,0.929754764,-0.422888664,0.672376494,0.999729606,AAA1
496.6445698,-0.018574124,0.033372646,-0.55656732,0.577823087,0.999729606,AAAS
230.4566039,0.041666552,0.049458527,0.842454378,0.399533666,0.999729606,AACS
0.094053946,-0.38796154,1.623089079,-0.239026647,0.81108492,0.999729606,AACSP1
0.079703087,-0.144254538,1.792540631,-0.080474906,0.935859554,0.999729606,AADAC
0.035053082,-0.245391899,2.609981175,-0.094020563,0.925092822,0.999729606,AADACL2
0.094056887,-0.006245224,1.633971541,-0.003822113,0.996950402,0.999729606,AADACL3
0.106290395,-0.146316221,1.247276754,-0.117308545,0.906615554,0.999729606,AADACL4
0.275412309,-0.736554094,0.663687235,-1.109790961,0.267089115,0.999729606,AADAT
470.1885341,-0.016656752,0.033748582,-0.49355414,0.621621095,0.999729606,AAGAB
2066.408941,0.045695234,0.07383262,0.618903059,0.535980223,0.999729606,AAK1
1175.242471,-0.005276208,0.052406356,-0.100678775,0.919805461,0.999729606,AAMP
14.3729545,-0.090636176,0.126533366,-0.716302573,0.473804539,0.999729606,AANAT
768.1097781,0.026877915,0.078156613,0.343898155,0.73092288,0.999729606,AARS
398.1068551,0.065916759,0.043913124,1.501071946,0.133336954,0.999729606,AARS2
226.9472496,-0.057399509,0.074197216,-0.773607313,0.439163046,0.999729606,AARSD1
183.0786606,0.0057807,0.040747677,0.141865749,0.887186049,0.999729606,AASDH
474.1696409,-0.012211553,0.043586789,-0.280166374,0.779349863,0.999729606,AASDHPPT
70.96297591,0.019867119,0.08210597,0.241969233,0.808804003,0.999729606,AASS
903.7750871,-0.053289759,0.076894514,-0.693024208,0.48829436,0.999729606,AATF
2686.639105,-0.097863202,0.087742315,-1.115347852,0.264701387,0.999729606,AATK
0.538434081,-0.548381532,0.433132292,-1.266083234,0.205483285,0.999729606,AATK-AS1
631.7839987,-0.0722588,0.080466814,-0.897995042,0.369188193,0.999729606,ABAT
763.7682557,-0.21826439,0.117154146,-1.863053057,0.062454802,0.999729606,ABCA1
12.98015503,0.006229216,0.10215077,0.060980607,0.951374654,0.999729606,ABCA10
59.76364879,0.050648487,0.073420643,0.689839878,0.490294888,0.999729606,ABCA11P
0.281402146,-0.390671493,0.582407855,-0.670786785,0.502356367,0.999729606,ABCA12
20.41226544,-0.164674757,0.179807194,-0.91584076,0.359750422,0.999729606,ABCA13
3.869600403,0.03271092,0.181511068,0.180214463,0.856984205,0.999729606,ABCA17P
2812.1839,0.052035685,0.061472701,0.846484438,0.397282552,0.999729606,ABCA2
206.5965302,0.049280711,0.070416684,0.699844255,0.484024574,0.999729606,ABCA3
0.619005977,0.224237594,0.445882623,0.502907229,0.615029498,0.999729606,ABCA4
331.0797404,0.095501123,0.069993512,1.364428225,0.17243283,0.999729606,ABCA5
9.417815475,0.094025411,0.159136825,0.590846339,0.554623383,0.999729606,ABCA6
7392.189249,-0.008985063,0.071735466,-0.12525273,0.900323473,0.999729606,ABCA7
0.166757182,-0.80136225,1.478688552,-0.541941201,0.587859013,0.999729606,ABCA8
5.419437226,0.2243733,0.157563365,1.424019469,0.154440836,0.999729606,ABCA9
214.5428041,0.06053003,0.082467523,0.733986279,0.462957101,0.999729606,ABCB1
343.0924725,0.038383245,0.070644878,0.54332665,0.586904918,0.999729606,ABCB10
0.978460109,-0.662618778,0.366164603,-1.809619973,0.07035474,0.999729606,ABCB11
44.52842608,0.046681815,0.109800256,0.42515215,0.670725763,0.999729606,ABCB4
